company,idea,industry,subindustry,tags
Ecliptor,AI and Embeddings.,B2B,B2B -> Sales,Artificial Intelligence|B2B|Sales
ED1TH,Jarvis IRL,Consumer,Consumer -> Consumer Electronics,Hardware|Consumer|AI Assistant
Eden,Developing AI to unleash diagnostic abundance.,Healthcare,Healthcare -> Healthcare IT,Digital Health|Healthcare
Eden,Workplace software for people-centric companies.,B2B,B2B -> Human Resources,SaaS|Human Resources|B2B|Collaboration|HR Tech
Eden Care,Claims infrastructure for African health insurance,Fintech,Fintech -> Insurance,Fintech|Health Insurance|Infrastructure
Eden Robotics,Autonomous services for humanity.,Industrials,Industrials -> Manufacturing and Robotics,
Edexia,AI Teacher Assistant for Grading Essays,Education,Education,AI-Enhanced Learning|Artificial Intelligence|Education|SaaS|AI Assistant
Edge,The ultimate IP assistant.,B2B,B2B -> Legal,
EdgeBit,Autofix your software dependencies,B2B,B2B -> Security,DevSecOps|B2B|Security
Edgerun,Military exoskeletons,Industrials,Industrials -> Defense,Robotics|Defense
EdgeTrace,Describe It. Find It. Act On It.,B2B,B2B,Artificial Intelligence|GovTech|Computer Vision|B2B|Video
Edlyft,Helps enterprises train college CS students on essential job skills,B2B,B2B -> Productivity,Education|B2B|Enterprise
EdotEnv,A Quant Neolab building self-improving agents from quant trading,B2B,B2B,Reinforcement Learning|Time Series
Educato,Worldwide exam-prep platform,Education,Education,Artificial Intelligence|Education|Edtech
Eduflow,Create and run collaborative online learning experiences.,Education,Education,Education|eLearning
EduRev,Learning App for 400M Indian Students like a Netflix for Education,Education,Education,Education|eLearning|India
Edviro,AI That Operates Energy Infrastructure and Data Centers,B2B,B2B -> Infrastructure,Deep Learning|B2B|Energy
Edyn,Nest for lawn and garden,Industrials,Industrials -> Agriculture,IoT|Agriculture
EffiGov,The AI OS for Cities,Other,Government,Artificial Intelligence|GovTech
Eggnog,Fun with AI video,Consumer,Consumer,Artificial Intelligence|Entertainment|Social Media|Video
ego,AI applied research lab building synthetic sapience; human-like AI,Consumer,Consumer,Artificial Intelligence|Consumer|AI|Conversational AI
Egoist Machines,"Your personal context, securely portable across every AI app.",Consumer,Consumer,Personalization|Privacy|Consumer Products|AI|AI Assistant
Egress Health,"Automated revenue cycle management, starting with dentists",Healthcare,Healthcare,
EigenPal,AI Document Workflows for Enterprises,B2B,B2B -> Operations,
Eight Sleep,The sleep fitness company.,Consumer,Consumer -> Home and Personal,Hardware|Health Tech
Ekho,Shopify for vehicles,B2B,B2B -> Supply Chain and Logistics,Auto Commerce|Fintech|Compliance|Automotive
Ekho Labs,World Model for Freight,B2B,B2B -> Supply Chain and Logistics,SaaS
Ekpa,Building Autonomous Research Agents for Trading,Fintech,Fintech -> Asset Management,Consumer Finance
Elayne,"Estate settlement, from verified discovery to distribution",Fintech,Fintech,Artificial Intelligence|Fintech|B2B|Legal|Consumer Finance
Electric Air,Tech-enabled heat pump contractor that cuts costs by 60%,Real Estate and Construction,Real Estate and Construction -> Construction,
ElectroNeek,Robotic Process Automation and Document Processing Platform,B2B,B2B,Developer Tools|Robotic Process Automation|B2B
Elemeno Health,Just-in-time training and communication for frontline healthcare teams,Healthcare,Healthcare -> Healthcare IT,SaaS|Digital Health|Healthcare
Elementary,Open-source data observability for data teams,B2B,B2B -> Analytics,Developer Tools|Analytics|Open Source|Data Engineering
Elessar,AI-powered engineering productivity tools,B2B,B2B -> Productivity,Artificial Intelligence|Productivity
Elevate,Automated AI data integrations for roll-ups,B2B,B2B,AIOps|Artificial Intelligence|Finance|B2B|Automation
Elevate (formerly Bloom),US based USD accounts for non-US residents,Fintech,Fintech -> Payments,Fintech|Payments|Consumer|Neobank
Eligible,Insurance Billing APIs for Healthcare Businesses,Healthcare,Healthcare -> Healthcare IT,Developer Tools|Healthcare|Health Insurance
Elip AI,Cooking something sweet and salty!,B2B,B2B,Artificial Intelligence|B2B|Recruiting
Ellipsis,Cloud platform for coding agents,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Machine Learning|AI
Ello,Building the world's first 1:1 AI teacher.,Education,Education,Education|AI
Elodin,Unified flight software and hardware for the mission of tomorrow,Industrials,Industrials -> Aviation and Space,Hard Tech|Drones|Satellites|Rocketry|Aerospace
Eloquent AI,The AI Operator for Financial Services,B2B,B2B,Fintech|B2B|Enterprise|AI
Elpha,Professional network for women,Consumer,Consumer -> Job and Career Services,Community|Recruiting
"Elphinstone, Inc.",Robo-advisory platform for Pakistan,Fintech,Fintech -> Asset Management,Fintech|SaaS
Elyos AI,AI Customer Service Agents for trades and field services,B2B,B2B -> Operations,Artificial Intelligence|SaaS|B2B|AI Assistant
Elyra,AI Reservation System for Restaurants,B2B,B2B,
Elythea,ML to predict and prevent pregnancy complications,Healthcare,Healthcare,Health Tech|Digital Health|Women's Health|AI|ML
Emailio,Email built for wellness,B2B,B2B -> Productivity,Productivity|Health & Wellness
Embark Trucks,Self-driving semi trucks.,Industrials,Industrials -> Automotive,Autonomous Trucking
Embeddables,The funnel builder built for health & wellness brands.,B2B,B2B -> Productivity,SaaS|B2B
Embedder,Hardware-Aware AI for Embedded Software Development,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Hardware|B2B
Ember,AI RCM. Increase net revenue by 16%.,Healthcare,Healthcare,
Ember Robotics,Datadog for robots,Industrials,Industrials -> Manufacturing and Robotics,Developer Tools|Robotics|B2B|Analytics|Data Visualization
Embrace,Modern user-focused observability built on OpenTelemetry,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|SaaS|Open Source|Data Engineering
Emburse,Expense management and AP automation.,Fintech,Fintech -> Banking and Exchange,Fintech
Emdash,Open-source Agentic Development Environment,B2B,B2B -> Productivity,
Emerge Career,All-in-one re-entry & workforce development training platform,Education,Education,Education|GovTech
Emerge Tools,Supercharge your mobile apps,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|B2B|Enterprise
Emergent,AI app builder that turns your ideas into monetizable software.,Consumer,Consumer,Generative AI|Consumer|No-code|AI
Emi Labs,"Helping great teams hire better frontline workers, faster.",B2B,B2B -> Recruiting and Talent,Recruiting
Emigre,Banking in India for Indian expats (NRIs),Fintech,Fintech -> Banking and Exchange,Fintech|Consumer|Neobank
Emobi,A single point integration for secure and automated EV charging.,B2B,B2B,Artificial Intelligence|API|Energy|Electric Vehicles|ML
Emote,Catch student behavior problems before they start.,Consumer,Consumer -> Virtual and Augmented Reality,Education|Healthcare
Enact,Real-world RL environments for robotics models,Industrials,Industrials -> Manufacturing and Robotics,Reinforcement Learning|Robotics|AI
Encord,The data layer for physical AI,B2B,B2B -> Infrastructure,Machine Learning|Robotics|Enterprise Software|Infrastructure|AI
Encuadrado,Payments and scheduling for services professionals in LATAM,B2B,B2B -> Productivity,Fintech|Marketplace|SaaS
End Close,AI powered reconciliation for high-volume payments companies,B2B,B2B -> Finance and Accounting,
Endla,Software that increases the value of oil & gas wells,B2B,"B2B -> Engineering, Product and Design",Analytics|Energy|Big Data
Endpoint Health,Precision-first therapies,Healthcare,Healthcare -> Therapeutics,
Endstack,"The complete, collaborative workspace for humans and agents",B2B,B2B,Developer Tools|Generative AI|AI|AI Assistant
Energent AI,AI that audits AI - catching hallucinations before you ship them.,B2B,B2B,Productivity|Big Data|Enterprise Software|Automation|AI Assistant
Enerjazz,Making electric vehicle batteries affordable,Industrials,Industrials -> Climate,Climate
Enflux,Motion capture clothing for injury prevention,Healthcare,Healthcare -> Consumer Health and Wellness,Smart Clothing
Engage Bio,"Potent, durable, and redosable non-viral genetic medicines",Healthcare,Healthcare -> Therapeutics,Synthetic Biology|Biotech|Healthcare|Therapeutics|Drug discovery
Engines,Setup any repo with one command,B2B,B2B -> Infrastructure,
Enhanced Radar,AI for air traffic control,Industrials,Industrials -> Aviation and Space,
Enjamb Labs,The AI Workforce for Biopharma,B2B,B2B,SaaS|B2B|Biotech|Automation|AI
Enlightra,Multicolor lasers for ultrafast data transmission,Industrials,Industrials,Hard Tech|Hardware
Enode,Energy Orchestration Platform,Industrials,Industrials -> Energy,Climate|API|Energy|Infrastructure
Enso,Self-Service Data Prep and Blend Built for Data Teams.,B2B,B2B -> Analytics,SaaS|Open Source
Entangl,Find & resolve issues in data center engineering & operations using AI,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Aerospace|Enterprise Software|Automation|Automotive
Entelexo Biotherapeutics,Creating a New Class of Drugs to Address Incurable Autoimmune Diseases,Healthcare,Healthcare -> Therapeutics,Biotech
Entocycle,Automated factory to produce insect protein for farm animals.,Industrials,Industrials -> Agriculture,Food Tech|Agriculture
Entropy,Autonomous intake and RCM for specialty clinics.,Healthcare,Healthcare,
Entry,Biometric sign in and identity verification platform,B2B,B2B -> Productivity,Machine Learning|Biometrics|AI
Envariant,Interpretability and reasoning infra for foundation models.,B2B,B2B,
Enveloop,Design and send messages from your app with a simple API.,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|B2B|Messaging|Analytics
Envelope,Budgeting app with built-in banking,Fintech,Fintech -> Consumer Finance,Fintech|Consumer|Neobank
EnvKey,End-to-end encrypted configuration and secrets management,B2B,"B2B -> Engineering, Product and Design",Security
Enzyme,Automating regulatory approval & compliance for life science companies,Healthcare,Healthcare -> Healthcare IT,SaaS
Eos AI,Autonomous OS for healthcare,Healthcare,Healthcare,
EPIC AEROSPACE,Last-mile delivery for satellites.,Industrials,Industrials -> Aviation and Space,Commercial Space Launch|Hard Tech|Space Exploration
Epicenter,"ChatGPT's memory feature in an open, portable format",Consumer,Consumer,SaaS|Productivity|Open Source|Note-taking|AI Assistant
Epinoma,We engineer proteins that control the operating system of biology.,Healthcare,Healthcare,Synthetic Biology|Biotech
Epsilla,All-in-one platform to create AI agents with your private knowledge,B2B,B2B -> Infrastructure,SaaS|Infrastructure|AI|Databases
Epsilon,AI Search Engine for Academic Research,Education,Education,Education|Productivity|AI
Epsilon3,"AI-Powered ERP, MES, and Test Software for Complex Operations",B2B,B2B -> Operations,Commercial Space Launch|SaaS|Space Exploration|B2B|Enterprise Software
eqtble,Turning HR data into actionable insights,B2B,B2B -> Human Resources,SaaS|Human Resources|B2B
EquipmentShare,Cloud solutions for the construction industry.,Real Estate and Construction,Real Estate and Construction -> Construction,Construction
Equipt Health,"Home medical equipment, prescribed online and delivered.",Healthcare,Healthcare,Sleep Tech|Consumer Health Services|Digital Health|Telemedicine
erad,Non-dilutive funding and payments in the Middle East,Fintech,Fintech,Fintech|Payments|B2B
Ergo,AI agents and unified data layer for revenue teams,B2B,B2B -> Sales,SaaS|B2B|Sales|AI
Erinys,We help lawyers start and scale AI-native law firms.,B2B,B2B -> Legal,Artificial Intelligence|Legal|LegalTech
Eris Biotech,Our drugs engage the immune system to fight tumors,Healthcare,Healthcare -> Therapeutics,Biotech|Therapeutics|Drug discovery|Oncology
ErudiFi,Digital financial services for students in Southeast Asia,Fintech,Fintech -> Credit and Lending,Education|Fintech
Escape,Offensive security for the teams that are 100x outnumbered,B2B,B2B -> Security,Developer Tools|Security|API|GraphQL
Escher Reality,The backend for Augmented Reality.,Consumer,Consumer -> Virtual and Augmented Reality,Developer Tools|Augmented Reality|Gaming
"Estimote, Inc.",Location intelligence platform,B2B,B2B -> Supply Chain and Logistics,Developer Tools|Indoor Mapping|IoT
Estoca,The Logistics Operating System for E-commerce in LatAm,B2B,B2B -> Supply Chain and Logistics,B2B|Logistics|E-commerce
et al.,Feed of insights extracted from your go-to sources using LLMs.,Consumer,Consumer,AI-Enhanced Learning|Consumer|Productivity|AI
Eternal,Own the best moments in streaming,Consumer,Consumer -> Gaming,Entertainment|Video|Media|Live
Ethos Space Resources,We make Silicon on the Moon.,Industrials,Industrials -> Aviation and Space,Hard Tech|Exascale Computing|Energy|Aerospace|Industrial
EthosX,The protocol for derivatives on blockchains,Fintech,Fintech,DeFi|Fintech|Crypto / Web3|Consumer|B2B
Etleap,Etleap is an ETL solution for creating perfect data pipelines.,B2B,B2B -> Infrastructure,Data Engineering
Eugit Therapeutics,Enabling Tissue Targeting of Therapies,Healthcare,Healthcare -> Therapeutics,Cell Therapy|Synthetic Biology|Therapeutics|Oncology|Biotechnology
Event Horizon Labs,AI research lab automating all of investing,Fintech,Fintech -> Asset Management,Finance|Investing|AI
Eventjoy,"Fee-free ticketing, optimized for mobile.",B2B,B2B -> Retail,Ticketing
Eventual,Building the AI data engine for any modality and scale,B2B,B2B -> Infrastructure,Computer Vision
Ever Loved,Helping families plan and pay for funerals.,Consumer,Consumer -> Home and Personal,Marketplace
Evergrove,Voice agents that accelerate care coordination in workers' comp,Healthcare,Healthcare,Healthcare|Insurance|AI
Every,Banking + Payroll/Benefits + Bookkeeping + Tax in one place,B2B,B2B,
Everyday.me,Everyday.me - Record your life. Store it forever.,Consumer,Consumer -> Social,Video|Media
Everyme,The #1 private social network,Consumer,Consumer -> Social,Social Network
Evidence,Business intelligence as code,B2B,B2B -> Analytics,Developer Tools|B2B|Analytics|Data Engineering|Data Visualization
Evidently AI,Open-source monitoring for machine learning models,B2B,B2B -> Analytics,Developer Tools|Machine Learning|B2B|Open Source
Evo.Do,QA Bots for Games,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Gaming
Evolvere BioSciences,Making Next-Generation Antibiotics that Outpace Bacterial Evolution,Healthcare,Healthcare -> Therapeutics,AI-powered Drug Discovery|Artificial Intelligence|Biotech|Therapeutics|Biotechnology
Evoly,Smart electric & water meters as a service,Industrials,Industrials -> Energy,Climate|Energy
Evry Health,Better health insurance for mid-size companies,Healthcare,Healthcare -> Healthcare Services,Fintech|Healthcare|Health Insurance|Insurance
Exa,Web search rebuilt for LLMs,B2B,B2B,Developer Tools|Search|AI|APIs
Examedi,Uber for Healthcare in Latinamerica,Healthcare,Healthcare,Marketplace|Consumer Health Services
Excellence Learning,AI tutor starting with maths and science,Education,Education,AI-Enhanced Learning|Education|SaaS|Edtech
ExceptionALLY,Affordable expertise for special needs parenting.,Education,Education,
Executor,The open source tool gateway,B2B,B2B -> Infrastructure,AIOps|Artificial Intelligence|SaaS
Exin Therapeutics,AI drug discovery platform for neurotherapeutics,Healthcare,Healthcare -> Therapeutics,Neurotechnology|Biotech|Therapeutics
Exla,Building agents that reads logs and fixes issues on your behalf.,B2B,B2B -> Infrastructure,Artificial Intelligence|Infrastructure
Exonic,Exonic is an AI-native cell and gene therapeutics company.,Healthcare,Healthcare -> Drug Discovery and Delivery,
Exosat,Building a sovereign alternative to Starlink,Industrials,Industrials -> Aviation and Space,Space Exploration|Satellites|Aerospace|Telecommunications|AI
"Exosonic, Inc.",Developing supersonic UAVs as a pathway to quiet supersonic flight,Industrials,Industrials -> Aviation and Space,Drones|Unmanned Vehicle|Aerospace
Expanse,Unlock wasted GPU capacity.,B2B,B2B -> Infrastructure,Deep Learning|B2B|Infrastructure|ML
Expected Parrot,Simulate your customers with AI agents,B2B,B2B,Generative AI|SaaS|Open Source
Expent Inc,Procure the right software 5x faster,B2B,B2B -> Operations,Machine Learning|SaaS|B2B|AI
Experiential Labs,Open source OpenRouter that turns your traffic into a better model,B2B,B2B -> Infrastructure,Reinforcement Learning|Infrastructure|AI
Experiment,crowdfunding platform for science,Healthcare,Healthcare -> Healthcare Services,Marketplace|Crowdfunding
Explo,Embedded Analytics and Data Sharing Platform,B2B,B2B -> Analytics,SaaS|Analytics
Explorex,Ecosystem Platform for Restaurants in India,Consumer,Consumer,Marketplace|Consumer
Expo,Expo brings together the best of web and native app development,B2B,B2B -> Infrastructure,Developer Tools
Express Building,Financing Southeast Asia's ~$1 trillion housing backlog,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Fintech|Real Estate|B2B|Proptech|Lending
Extend,Production-ready document processing,B2B,B2B,Documents|Developer Tools|B2B|AI
Extern,"Professional Experience Anytime, Anywhere.",Consumer,Consumer -> Job and Career Services,Education|Marketplace|eLearning|Recruiting|Remote Work
EzDubs,Real-time speech translation,Consumer,Consumer,Generative AI|API|Telecommunications|AI
F2,The AI platform for private markets investors,B2B,"B2B -> Engineering, Product and Design",AI
F4 Industries,The GD&T Analysis Platform for Engineering Drawings,Industrials,Industrials,Hardware|B2B|Industrial
Fabius,AI to improve Sales Calls,B2B,B2B -> Sales,Generative AI|SaaS|B2B|Sales|AI
Fable,The command center for product teams,B2B,"B2B -> Engineering, Product and Design",SaaS|Productivity|Enterprise Software
Fabraix,The world's frontier hacker for AI agents.,B2B,B2B -> Security,Artificial Intelligence|Reinforcement Learning|Cybersecurity
Facio,Salary advance to employees in Brazil.,Fintech,Fintech -> Credit and Lending,
Faction,Driverless electric vehicles at a fraction of the cost of a car.,Industrials,Industrials -> Automotive,Autonomous Delivery|Robotics|Logistics|Electric Vehicles|Self-Driving Vehicles
FactIQ,Investment research data for AI agents,Fintech,Fintech -> Asset Management,Artificial Intelligence|Investing|Data Visualization|AI Assistant
Faire,The global online platform empowering independent retail.,B2B,B2B -> Retail,Marketplace|Retail
Fairway Health,AI Co-Pilot for Health Insurers to Authorize Treatment Faster,Healthcare,Healthcare -> Healthcare IT,Health Tech|B2B|Healthcare|Health Insurance|AI
Fam,Video calling social network to talk with friends and make new friends,Consumer,Consumer -> Social,Video|Social
Familiar,Real-Time AI Dubbing. Neolab for World Translation.,B2B,B2B -> Infrastructure,Artificial Intelligence|Generative AI|B2B|Entertainment
FamilyLeaf,Help families stay in touch,Consumer,Consumer -> Social,Consumer|Messaging|Social|Social Network
FamPay,India's first neobank for teenagers,Fintech,Fintech -> Payments,Fintech|Payments
Fancy,Essentials delivered in 30 minutes.,Consumer,Consumer -> Food and Beverage,Grocery|Delivery
Farcast,We build advanced satcom user terminals,Industrials,Industrials -> Aviation and Space,Satellites|Telecommunications
Farel,Next-gen airline OS,B2B,B2B -> Operations,SaaS|B2B
Farmako Healthcare,India's fastest medicine delivery in just 30 minutes,Healthcare,Healthcare -> Healthcare IT,Health Tech|Delivery|Digital Health|Healthcare
FarmLogs,Software that helps farmers operate more profitable businesses.,Industrials,Industrials -> Agriculture,Analytics|Agriculture
Farmstead,An AI-powered digital grocer that delivers in under 60 mins.,Consumer,Consumer -> Food and Beverage,Artificial Intelligence|Grocery|Delivery
farmtheory,India's first vegetable delivery service to restaurants with a hack,B2B,B2B -> Supply Chain and Logistics,Marketplace|B2B
FastFarma,"Digital pharmacy for Latam, that saves you money and time.",Healthcare,Healthcare -> Consumer Health and Wellness,E-commerce
Fastgen,Webflow for the Backend,B2B,"B2B -> Engineering, Product and Design",Developer Tools|B2B|API|No-code
FastJVM,Making the JVM faster,B2B,B2B -> Marketing,DevOps|Cloud Computing
Fastpad,Hiring Software for India,B2B,B2B -> Recruiting and Talent,Recruiting|India
Fastshot,Lovable for mobile apps,B2B,"B2B -> Engineering, Product and Design",Developer Tools|No-code|AI|AI Assistant
Fathom,The most flexible AI meeting notetaker ever built.,B2B,B2B -> Productivity,SaaS|B2B|Productivity|AI|Note-taking
Fazeshift,AI agent for Accounts Receivable,B2B,B2B -> Finance and Accounting,Fintech|B2B|AI
FAZZ,All-in-one Finance for Every Southeast Asia Business,Fintech,Fintech,Fintech|Payments|Neobank
Feanix Biotechnologies,Farm Genetics Made Easy - Using DNA and Software,Industrials,Industrials -> Agriculture,
Feather,Furniture rental for consumers and businesses.,Consumer,Consumer -> Home and Personal,Marketplace|Delivery|Furniture
Feather,Voice AI,B2B,B2B,Artificial Intelligence|SaaS
FeaturePeek,Supercharged deployment previews for all.,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS
Fed10,AI Agents for Government Affairs,B2B,B2B -> Legal,
Federacy,Penetration testing and bug bounty platform.,B2B,"B2B -> Engineering, Product and Design",Security
Feldy,Field-First AI for home services,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Construction|Home Services|AI
Felix Biotechnology,We're creating programmable therapies,Healthcare,Healthcare -> Drug Discovery and Delivery,Biotech|Genomics|Therapeutics
Fello,Grow money and win $1000 every week by saving and playing games,Fintech,Fintech,Fintech|Consumer|Gaming
Female Invest,Female Invest is a social e-learning app for finance and investing,Fintech,Fintech,Fintech|eLearning|Investing
Fenrock AI,AI agents for banks,Fintech,Fintech -> Banking and Exchange,Artificial Intelligence|Fintech|AI
Fern,Instantly offer SDKs and API Docs,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|B2B|Open Source|API
Fern,RL environments for robotics companies,B2B,B2B -> Infrastructure,Robotics|Infrastructure
Fernstone,AI-native insurance brokerage.,Fintech,Fintech -> Insurance,
Feroot Security,"AI-powered Compliance Platform for PCI 4, CCPA, HIPAA, CIPA, 50+ laws",B2B,B2B -> Security,Compliance|Security|Privacy
Ferveret,Nuclear-inspired cooling that turns wasted power into more AI compute,Industrials,Industrials -> Energy,Hardware|Climate|Energy
Fetch,Marketplace for self-service truck rental.,Consumer,Consumer -> Transportation Services,Marketplace|Logistics|Transportation
Fetchr,The Personal Shopper in Your Pocket,Consumer,Consumer -> Apparel and Cosmetics,Consumer|E-commerce|Fashion|AI
Fetii,Fetii is an AI-driven mobility platform,Consumer,Consumer -> Transportation Services,Artificial Intelligence|Transportation
Feyn,Custom models trained on your data,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|AI|ML
Fiber AI,"The freshest data APIs for AI sales, recruiting, & growth products",B2B,B2B,Generative AI|SaaS|Recruiting|Sales|AI
Fibo,SaaS calendar and messaging for SMBs,B2B,B2B -> Productivity,SaaS|Messaging|Calendar|SMB
Ficra,Getting creators more deals,B2B,B2B,B2B|Social Media|Automation|Creator Economy|AI
FidoCure®,FidoCure® is the leader in Precision Medicine for Canine Oncology.,Healthcare,Healthcare -> Healthcare Services,Oncology
Fieldguide,Vertical AI for Audit & Advisory Firms,B2B,B2B -> Productivity,Artificial Intelligence|B2B|Workflow Automation|Productivity
Fieldproxy,Retool for 20 Million Field Teams,B2B,B2B -> Productivity,SaaS|Productivity
Fifth Door,Create and play games with AI,Consumer,Consumer -> Gaming,Consumer|Gaming|AI
FifthTry,Continuous Documentation To End Documentation Rot,B2B,B2B -> Productivity,Documents|Developer Tools
Fig,"Fig adds visual apps, shortcuts, and autocomplete to your terminal.",B2B,"B2B -> Engineering, Product and Design",Developer Tools|DevSecOps|Open Source
FightCamp,Home boxing gym with motion trackers that compute punches and reps.,Consumer,Consumer -> Gaming,Hardware|Fitness|Gaming
Figments,Building worlds at technological inflection points,B2B,B2B,Artificial Intelligence|Entertainment|Media|Creator Economy|AI Assistant
Filadd,We help students in Latin America graduate from College.,Education,Education,Education|eLearning|Community
Fileforge,API For PDF Document Workflows,B2B,"B2B -> Engineering, Product and Design",Documents|Developer Tools|B2B|API
Filta,The Face Filter NFT Marketplace,Consumer,Consumer,Augmented Reality|Crypto / Web3|Virtual Reality
FinalDose,"Programmable DNA drug destroying all cancers, unlocking 80% of targets",Healthcare,Healthcare -> Therapeutics,Artificial Intelligence|Gene Therapy|Therapeutics|Genetic Engineering
Financial Datasets,Connect your agent to the stock market,B2B,B2B,Fintech|Investing|AI|Stocks
Finantier,Plaid for Southeast Asia,Fintech,Fintech -> Banking and Exchange,Fintech|SaaS|B2B
Finary,Discord for investing.,Fintech,Fintech -> Asset Management,Fintech|Community
Finary.com,The new wealth manager for Europe,Fintech,Fintech -> Asset Management,Fintech|Investing|Neobank
finbar,The AI investment analyst,Fintech,Fintech,Documents|Fintech|Finance|Workflow Automation
Finch,Finch is the Employment Data Platform,B2B,"B2B -> Engineering, Product and Design",Fintech|HR Tech|API
Findly,Co-pilot for Business Intelligence,B2B,B2B -> Analytics,Artificial Intelligence|Generative AI|B2B|Chatbot|Data Engineering
FinFlx,Flexible Workplace Savings plans for SMEs in MENA.,Fintech,Fintech,Fintech|SaaS|B2B
Fingo Africa,A neobank for Africa's 500 million youth,Fintech,Fintech,Neobank
Fini,Fini | Automate 80% of enterprise support with AI agents,B2B,B2B -> Operations,Generative AI|Machine Learning|SaaS|B2B|AI
Finic,The AI fraud hunter,Fintech,Fintech,Compliance|Enterprise|Automation|Fraud Detection|AI
Finku,AI powered personal finance app for Indonesia,Fintech,Fintech,Fintech|AI Assistant
Finlens,AI Accounting for Founders & Accountants,B2B,B2B -> Finance and Accounting,SaaS|Finance|B2B|AI
Finley,Streamline your debt capital raise and management,Fintech,Fintech -> Credit and Lending,Fintech|SaaS|Enterprise
Finmark,Financial planning software for startups,B2B,B2B -> Finance and Accounting,Fintech|SaaS|B2B
Finni Health,Empowering Autism Care Providers to Go Independent,Healthcare,Healthcare -> Consumer Health and Wellness,
Finnix,Financial technology solutions for Indonesian creative businesses,Fintech,Fintech -> Insurance,Fintech|Entertainment|Music|Creator Economy
Finnt,AI Agents for CFO and Finance teams,B2B,B2B -> Finance and Accounting,Finance|B2B|Workflow Automation|Enterprise Software|AI
FINNY AI,The organic growth engine for financial advisors,Fintech,Fintech -> Asset Management,Fintech|Machine Learning|Finance|Sales Enablement|Automation
Finosu,AI Native Consumer Loan Servicer,Fintech,Fintech -> Credit and Lending,Fintech|B2B|Lending|Consumer Finance
Finta,Magically simplify accounting and taxes,B2B,B2B -> Finance and Accounting,SaaS
Fintelite,Intelligent Process Automation for Lending.,Fintech,Fintech,Artificial Intelligence|Fintech|Machine Learning|Lending
Finto,AI accounting for enterprise finance teams,B2B,B2B -> Finance and Accounting,Artificial Intelligence|Fintech|B2B|Enterprise|AI
Fintoc,Account-to-Account payments in Mexico and Chile.,Fintech,Fintech -> Payments,Developer Tools|Fintech|SaaS|Payments
Fintool,Financial copilot for institutional investors,B2B,B2B -> Finance and Accounting,Artificial Intelligence|Finance|Trading
Fintual,Wealth manager,Fintech,Fintech -> Consumer Finance,Fintech
Finvest,AI Wealth Manager,Fintech,Fintech -> Consumer Finance,
Fira,Financial research platform for investment firms,B2B,B2B -> Finance and Accounting,
Firebase,"Build and grow iOS, Android, and Web apps.",B2B,B2B -> Infrastructure,
Firebender,Most powerful coding agent for Android engineers,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|AI Assistant
Firecrawl,"The API to search, scrape, and interact with the web at scale. 🔥",B2B,B2B,Developer Tools|Open Source|AI
Firezone,Easiest way to set up Zero Trust Access for your team,B2B,B2B -> Security,DevSecOps|Next-gen Network Security|B2B|Security|Open Source
FIRST,The best way for any business to offer delivery.,B2B,B2B -> Operations,SaaS|Delivery|Logistics
Firstbase.io,The all-in-one startup operating system,B2B,B2B -> Operations,SaaS|B2B|LegalTech
FirstIgnite,AI-Powered Business Development for Scientific Organizations,B2B,B2B,
FirstQuadrant,Sales AI that helps revenue teams move faster and close more deals.,B2B,B2B -> Sales,Artificial Intelligence|SaaS|Sales|Sales Enablement|AI
FirstSupport.ai,AI Assistant for Customer Support,B2B,B2B -> Operations,Artificial Intelligence|SaaS|B2B|Customer Support|AI Assistant
FirstWork,Rippling for seasonal workers,B2B,B2B -> Human Resources,Artificial Intelligence|SaaS|Human Resources|Workflow Automation|Compliance
FitFu,New projects,Consumer,Consumer -> Home and Personal,Health Tech|Fitness
FitHub,The one-stop shop for healthy products,Consumer,Consumer -> Food and Beverage,Grocery|E-commerce
Fitia,Automated Meal Planner & Nutrition Tracking,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer|Fitness|Health & Wellness
FitnessAI,App offering AI powered workout plans with anytime access to coaches,Consumer,Consumer -> Home and Personal,Artificial Intelligence|Fitness
Fivestars,Customer loyalty and payments platform for small businesses.,B2B,B2B -> Retail,Fintech|Marketplace
Fivetran,The leader in automated data movement,B2B,B2B -> Infrastructure,SaaS|B2B|Analytics|Data Engineering
Fixed,iPhone app to fight your parking tickets.,Consumer,Consumer -> Transportation Services,LegalTech
Fixture,An AI-first CRM built for Startups,B2B,B2B -> Sales,
